Sigla;Designação;;;;;;;;;;;;;

AAC;Autoridades Administrativas Civis;;;;;;;;;;;;;

AADR;Assembleias de apuramento distrital de resultados;;;;;;;;;;;;;

AAGR;Assembleias de apuramento geral dos resultados;;;;;;;;;;;;;

ACE;Administração Central do Estado ;;;;;;;;;;;;;

ACES;Agrupamentos de Centros de Saúde;;;;;;;;;;;;;

AF;Assembleias de Freguesia;;;;;;;;;;;;;

APb;Associações Públicas;;;;;;;;;;;;;

AJ;Autoridades judiciárias;;;;;;;;;;;;;

AL;Autarquias Locais;;;;;;;;;;;;;

AM;Assembleias Municipais;;;;;;;;;;;;;

AP;Administração Pública;;;;;;;;;;;;;

AS;Autoridades de Saúde;;;;;;;;;;;;;

ASF;Autoridades de supervisão e fiscalização;;;;;;;;;;;;;

AV;Assembleias de voto;;;;;;;;;;;;;

CA;Centros de Arbitragem;;;;;;;;;;;;;

CH;Comissões de Heráldica;;;;;;;;;;;;;

CN;Cartórios Notariais;;;;;;;;;;;;;

Cns;Consulados;;;;;;;;;;;;;

CPCJ;Comissões de Proteção de Crianças e Jovens;;;;;;;;;;;;;

CT;Comissões Técnicas de Normalização;;;;;;;;;;;;;

CVR;Comissões Vitivinícolas de Região;;;;;;;;;;;;;

EAARPNC;Entidades com autonomia administrativa e receitas próprias não consignadas;;;;;;;;;;;;;

EC;Equipas cinotécnicas;;;;;;;;;;;;;

EAI;Entidades administrativas independentes;;;;;;;;;;;;;

ECM;Entidades com competência de monitorização;;;;;;;;;;;;;

ECP;Entidades com capacidade pericial;;;;;;;;;;;;;

ECS;Entidades com competência sancionatória;;;;;;;;;;;;;

ECV;Entidades com competência de visita;;;;;;;;;;;;;

ED;Entidades depositantes;;;;;;;;;;;;;

EDA;Entidades detentoras de animais;;;;;;;;;;;;;

EDIE;Entidades detentoras de infrestruturas estratégicas;;;;;;;;;;;;;

EE;Entidades editoriais;;;;;;;;;;;;;

EFD;Entidades com funções delegadas;;;;;;;;;;;;;

EGAG;Entidades gestoras de água;;;;;;;;;;;;;

EGAP;Entidades gestoras de apoios;;;;;;;;;;;;;

Emb;Embaixadas;;;;;;;;;;;;;

ER;Entidades reguladoras;;;;;;;;;;;;;

ES;Estabelecimentos de ensino (EstE + IES);;;;;;;;;;;;;

ESPS;Entidades do sistema de proteção na saúde;;;;;;;;;;;;;

EstE;Estabelecimentos escolares;;;;;;;;;;;;;

FA;Forças Armadas;;;;;;;;;;;;;

FSS;Forças e serviços de segurança;;;;;;;;;;;;;

Fnd;Fundações;;;;;;;;;;;;;

Gov;Governo;;;;;;;;;;;;;

HH;Hospitais;;;;;;;;;;;;;

IP;Institutos Públicos;;;;;;;;;;;;;

IES;Instituições do Ensino Superior;;;;;;;;;;;;;

IPSS;Instituições Particulares de Solidariedade Social;;;;;;;;;;;;;

JP;Julgados de Paz;;;;;;;;;;;;;

LL;Laboratórios locais;;;;;;;;;;;;;

Museus;Museus;;;;;;;;;;;;;

OACDOP;Organizações da Administração com competências delegadas em ordens profissionais;;;;;;;;;;;;;

OGCT;Organizações Gestoras de Comissão Técnica;;;;;;;;;;;;;

ONS;Organizações de normalização setorial;;;;;;;;;;;;;

OP;Ordens profissionais;;;;;;;;;;;;;

OPC;Órgãos de polícia criminal;;;;;;;;;;;;;

OSJ;Órgãos do sistema judiciário;;;;;;;;;;;;;

PMun;Polícias Municipais;;;;;;;;;;;;;

SMT;Serviços de Medicina do Trabalho;;;;;;;;;;;;;

SPE;Setor Público Empresarial;;;;;;;;;;;;;

TComarca;Tribunais de Comarca;;;;;;;;;;;;;

TEP;Tribunais de Execução de Penas;;;;;;;;;;;;;

TFM;Tribunais de Família e Menores;;;;;;;;;;;;;

TIC;Tribunais de Instrução Criminal;;;;;;;;;;;;;

TR;Tribunais da Relação;;;;;;;;;;;;;

Trb;Tribunais;;;;;;;;;;;;;

UI;Unidades de Investigação;;;;;;;;;;;;;

UL;Unidades Laboratoriais;;;;;;;;;;;;;

UPCS;Unidades Prestadoras de Cuidados de Saúde;;;;;;;;;;;;;